genus,species,sp_code
Acropora,cervicornis,ACER
Acropora,palmata,APAL
Acropora,prolifera,APRO
Dendogyra,cylindrus,DCYL
Colpophyllia,natans,CNAT
Agaricia,agaricites,AAGA
Agaricia,lamarcki,ALAM
Agaricia,sp,AGAR
Agaricia,tenuifolia,ATEN
Dichocoenia,stokesi,DSTO
Dichocoenia,stellaris,DSTE
Diploria,labyrinthiformis,DLAB
Eusmilia,fastigiata,EFAS
Favia,fragum,FFRA
Helioseris,cucullata,HCUC
Isophyllia,sp,ISOP
Isophyllia,rigida,IRIG
Madracis,decactis,MDEC
Madracis,formosa,MFOR
Madracis,auretenra,MAUR
Madracis,mirabilis,MMIR
Madracis,pharensis,MPHA
Madracis,luciphila,MLUC
Madracis,sp,MADR
Manicina,areolata,MARE
Meandrina,meandrites,MMEA
Meandrina,jacksoni,MJAC
Millepora,alcicornis,MALC
Millepora,complanata,MCOM
Montastraea,cavernosa,MCAV
Mussa,angulosa,MANG
Mycetophyllia,aliciae,MALI
Mycetophyllia,danaana,MDAN
Mycetophyllia,ferox,MFER
Mycetophyllia,lamarckiana,MLAM
Mycetophyllia,sp,MYCE
Oculina,sp,OCUL
Orbicella,annularis,OANN
Orbicella,faveolata,OFAV
Orbicella,franksi,OFRA
Porites,astreoides,PAST
Porites,branneri,PBRA
Porites,colonensis,PCOL
Porites,divaricata,PDIV
Porites,furcata,PFUR
Porites,porites,PPOR
Porites,sp,PORI
Pseudodiploria,clivosa,PCLI
Pseudodiploria,strigosa,PSTR
Scolymia,cubensis,SCUB
Scolymia,sp,SCOL
Siderastrea,radians,SRAD
Siderastrea,siderea,SSID
Solenastrea,bournoni,SBOU
Solenastrea,hyades,SHYA
Stephanocoenia,intersepta,SINT
Stephanocoenia,michelini,SMIC
